"Activity Date","Process Date","Settle Date","Instrument","Description","Trans Code","Quantity","Price","Amount"
"9/30/2024","9/30/2024","10/1/2024","LULU","Lululemon
CUSIP: 550021109","Sell","10","$271.14","$2,711.32"
"9/30/2024","9/30/2024","10/1/2024","BA","Boeing
CUSIP: 097023105","Buy","100","$151.74","($15,173.50)"
"9/30/2024","9/30/2024","10/1/2024","BA","BA 10/4/2024 Call $157.50","BTC","3","$1.05","($315.09)"
"9/30/2024","9/30/2024","10/1/2024","AMZN","AMZN 10/4/2024 Call $192.50","STO","1","$0.36","$35.95"
"9/30/2024","9/30/2024","10/1/2024","IWM","IWM 9/30/2024 Put $219.00","STC","2","$0.11","$21.92"
"9/30/2024","9/30/2024","10/1/2024","IWM","IWM 9/30/2024 Put $219.00","BTO","1","$0.15","($15.03)"
"9/30/2024","9/30/2024","10/1/2024","IWM","IWM 9/30/2024 Put $219.00","BTO","1","$0.15","($15.03)"
"9/30/2024","9/30/2024","10/1/2024","COIN","COIN 10/4/2024 Put $165.00","STO","1","$1.15","$114.95"
"9/30/2024","9/30/2024","10/1/2024","DNLI","Denali Therapeutics
CUSIP: 24823R105","Buy","10","$28.75","($287.50)"
"9/30/2024","9/30/2024","10/1/2024","SPY","SPY 9/30/2024 Call $572.00","STC","1","$0.67","$66.95"
"9/30/2024","9/30/2024","10/1/2024","SPY","SPY 9/30/2024 Call $572.00","BTO","1","$0.77","($77.03)"
"9/30/2024","9/30/2024","10/1/2024","DNLI","Denali Therapeutics
CUSIP: 24823R105","Buy","100","$29.02","($2,901.50)"
"9/30/2024","9/30/2024","10/1/2024","HOOD","HOOD 10/4/2024 Call $24.00","STO","1","$0.35","$34.95"
"9/30/2024","9/30/2024","10/1/2024","NKE","NKE 10/4/2024 Put $86.00","STO","1","$1.86","$185.95"
"9/30/2024","9/30/2024","10/1/2024","PFE","PFE 10/4/2024 Call $29.50","STO","1","$0.12","$11.95"
"9/30/2024","9/30/2024","10/1/2024","PFE","PFE 10/4/2024 Call $29.50","STO","2","$0.12","$23.92"
"9/30/2024","9/30/2024","10/1/2024","BA","BA 10/4/2024 Call $157.50","STO","3","$1.56","$467.88"
"9/30/2024","9/30/2024","10/1/2024","AMZN","AMZN 10/4/2024 Put $180.00","STO","1","$0.68","$67.95"
"9/30/2024","9/30/2024","10/1/2024","AMZN","AMZN 10/4/2024 Call $200.00","BTC","1","$0.06","($6.03)"
"9/30/2024","9/30/2024","10/1/2024","BA","BA 10/4/2024 Call $157.50","BTC","3","$1.61","($483.09)"
"9/30/2024","9/30/2024","10/1/2024","AMZN","AMZN 10/4/2024 Call $200.00","STO","1","$0.07","$6.95"
"9/30/2024","9/30/2024","10/1/2024","BA","BA 10/4/2024 Call $157.50","STO","2","$1.52","$303.92"
"9/30/2024","9/30/2024","10/1/2024","BA","BA 10/4/2024 Call $157.50","STO","1","$1.52","$151.95"
"9/27/2024","9/27/2024","9/30/2024","HOOD","Robinhood Markets
CUSIP: 770700102","Buy","100","$23.56","($2,355.88)"
"9/27/2024","9/27/2024","9/30/2024","DIS","Disney
CUSIP: 254687106","Buy","35","$96.53","($3,378.53)"
"9/27/2024","9/27/2024","9/30/2024","DOCU","DocuSign
CUSIP: 256163106","Sell","51","$61.71","$3,147.11"
"9/27/2024","9/27/2024","9/30/2024","DOCU","DOCU 12/20/2024 Call $62.50","STC","1","$4.45","$444.94"
"9/27/2024","9/27/2024","9/30/2024","BA","BA 10/25/2024 Call $160.00","BTC","1","$5.95","($595.03)"
"9/27/2024","9/27/2024","9/30/2024","DIS","DIS 11/15/2024 Call $100.00","STC","1","$3.20","$319.95"
"9/27/2024","9/27/2024","9/30/2024","PLTR","PLTR 10/11/2024 Call $37.00","STC","3","$1.03","$308.89"
"9/27/2024","9/27/2024","9/30/2024","PLTR","PLTR 10/4/2024 Call $37.50","STC","5","$0.50","$249.83"
"9/27/2024","9/27/2024","9/30/2024","HOOD","HOOD 10/25/2024 Call $23.00","STC","1","$1.55","$154.95"
"9/27/2024","9/27/2024","9/30/2024","DIS","DIS 11/15/2024 Call $100.00","BTO","1","$3.13","($313.03)"
"9/27/2024","9/27/2024","9/30/2024","HOOD","HOOD 10/25/2024 Call $23.00","BTO","1","$1.32","($132.03)"
"9/27/2024","9/27/2024","9/30/2024","OSCR","Oscar Health
CUSIP: 687793109","Buy","30","$21.23","($636.77)"
"9/27/2024","9/27/2024","9/30/2024","BA","BA 10/25/2024 Call $160.00","STO","1","$6.05","$604.94"
"9/27/2024","9/27/2024","9/30/2024","DOCU","DOCU 12/20/2024 Call $62.50","BTO","1","$5.00","($500.03)"
"9/27/2024","9/27/2024","9/30/2024","LULU","Lululemon
CUSIP: 550021109","Buy","20","$277.19","($5,543.88)"
"9/27/2024","9/27/2024","9/30/2024","CHEF","Chef's Warehouse
CUSIP: 163086101","Buy","18","$43.19","($777.42)"
"9/27/2024","9/27/2024","9/30/2024","OPCH","Option Care Health
CUSIP: 68404L201","Buy","25","$31.37","($784.35)"
"9/27/2024","9/27/2024","9/30/2024","ARDX","Ardelyx
CUSIP: 039697107","Buy","98","$6.52","($639.45)"
"9/27/2024","9/27/2024","9/30/2024","ARDX","Ardelyx
CUSIP: 039697107","Buy","2","$6.52","($13.05)"
"9/27/2024","9/27/2024","9/30/2024","CECO","CECO Environmental
CUSIP: 125141101","Buy","25","$28.83","($720.75)"
"9/27/2024","9/27/2024","9/30/2024","DNLI","Denali Therapeutics
CUSIP: 24823R105","Buy","100","$29.44","($2,944.00)"
"9/27/2024","9/27/2024","9/30/2024","O","O 10/18/2024 Put $60.00","BTC","1","$0.24","($24.03)"
"9/27/2024","9/27/2024","9/30/2024","O","O 10/18/2024 Put $60.00","BTC","1","$0.24","($24.03)"
"9/27/2024","9/27/2024","9/30/2024","O","O 10/18/2024 Put $60.00","BTC","1","$0.24","($24.03)"
"9/27/2024","9/27/2024","9/30/2024","AMZN","AMZN 10/4/2024 Put $180.00","STC","1","$0.29","$28.95"
"9/27/2024","9/27/2024","9/30/2024","PLTR","PLTR 10/11/2024 Call $37.00","BTO","3","$1.39","($417.09)"
"9/27/2024","9/27/2024","9/30/2024","PLTR","PLTR 10/4/2024 Call $37.50","STC","5","$0.64","$319.83"
"9/27/2024","9/27/2024","9/30/2024","ARDX","Ardelyx
CUSIP: 039697107","Buy","1","$6.43","($6.43)"
"9/27/2024","9/27/2024","9/30/2024","CHEF","Chef's Warehouse
CUSIP: 163086101","Buy","1","$42.83","($42.83)"
"9/27/2024","9/27/2024","9/30/2024","OPCH","Option Care Health
CUSIP: 68404L201","Buy","1","$31.22","($31.22)"
"9/27/2024","9/27/2024","9/30/2024","PFE","Pfizer
CUSIP: 717081103","Sell","200","$28.98","$5,795.80"
"9/27/2024","9/27/2024","9/30/2024","PFE","Pfizer
CUSIP: 717081103","Sell","200","$28.97","$5,793.80"
"9/27/2024","9/27/2024","9/30/2024","NKE","Nike
CUSIP: 654106103","Buy","100","$89.66","($8,966.00)"
"9/27/2024","9/27/2024","9/30/2024","AMD","AMD
CUSIP: 007903107","Buy","18","$167.74","($3,019.32)"
"9/27/2024","9/27/2024","9/30/2024","AMZN","Amazon
CUSIP: 023135106","Sell","50","$191.21","$9,560.23"
"9/27/2024","9/27/2024","9/30/2024","CECO","CECO Environmental
CUSIP: 125141101","Buy","1","$28.99","($28.99)"
"9/27/2024","9/27/2024","9/30/2024","META","Meta Platforms
CUSIP: 30303M102","Buy","5","$568.68","($2,843.40)"
"9/27/2024","9/27/2024","9/30/2024","DOCU","DocuSign
CUSIP: 256163106","Buy","50","$62.50","($3,125.00)"
"9/27/2024","9/27/2024","9/30/2024","DNLI","Denali Therapeutics
CUSIP: 24823R105","Buy","1","$29.69","($29.69)"
"9/27/2024","9/27/2024","9/30/2024","AMZN","Amazon
CUSIP: 023135106","Buy","100","$191.37","($19,137.29)"
"9/27/2024","9/27/2024","9/30/2024","PFE","Pfizer
CUSIP: 717081103","Sell","8","$29.05","$232.40"
"9/27/2024","9/27/2024","9/30/2024","PFE","Pfizer
CUSIP: 717081103","Sell","10","$29.05","$290.50"
"9/27/2024","9/27/2024","9/30/2024","PFE","Pfizer
CUSIP: 717081103","Sell","69","$29.04","$2,003.69"
"9/27/2024","9/27/2024","9/30/2024","PFE","Pfizer
CUSIP: 717081103","Sell","213","$29.05","$6,187.43"
"9/27/2024","9/27/2024","9/30/2024","META","Meta Platforms
CUSIP: 30303M102","Buy","1","$566.66","($566.66)"
"9/27/2024","9/27/2024","9/30/2024","AMD","AMD
CUSIP: 007903107","Buy","1","$166.65","($166.65)"
"9/27/2024","9/27/2024","9/30/2024","DOCU","DocuSign
CUSIP: 256163106","Buy","1","$62.53","($62.53)"
"9/26/2024","9/26/2024","9/27/2024","AMZN","Amazon
CUSIP: 023135106","Buy","50","$191.37","($9,568.61)"
"9/26/2024","9/26/2024","9/27/2024","PFE","Pfizer
CUSIP: 717081103","Buy","1000","$28.98","($28,980.00)"
"9/26/2024","9/26/2024","9/27/2024","PLTR","PLTR 10/4/2024 Call $37.50","BTO","1","$0.82","($82.03)"
"9/26/2024","9/26/2024","9/27/2024","PLTR","PLTR 10/4/2024 Call $37.50","BTO","9","$0.81","($729.27)"
"9/26/2024","9/26/2024","9/27/2024","AMZN","AMZN 10/4/2024 Put $180.00","BTO","1","$0.32","($32.03)"
"9/26/2024","9/26/2024","9/27/2024","O","O 10/18/2024 Put $60.00","STO","3","$0.20","$59.89"
"9/26/2024","9/26/2024","9/27/2024","BA","Boeing
CUSIP: 097023105","Buy","100","$155.91","($15,591.00)"
"9/26/2024","9/26/2024","9/27/2024","BA","Boeing
CUSIP: 097023105","Buy","200","$155.32","($31,064.72)"
"9/26/2024","9/26/2024","9/27/2024","HOOD","HOOD 9/27/2024 Put $22.00","BTC","1","$0.07","($7.03)"
"9/26/2024","9/26/2024","9/27/2024","HOOD","HOOD 9/27/2024 Put $22.00","BTC","1","$0.07","($7.03)"
"9/26/2024","9/26/2024","9/27/2024","COIN","COIN 9/27/2024 Put $149.00","BTC","1","$0.05","($5.03)"
"9/26/2024","9/26/2024","9/27/2024","OSCR","Oscar Health
CUSIP: 687793109","Sell","70","$20.63","$1,444.17"
"9/26/2024","9/26/2024","9/27/2024","SPY","SPDR S&P 500 ETF
CUSIP: 78462F103","Sell","1","$571.17","$571.15"
"9/26/2024","9/26/2024","9/27/2024","QQQ","Invesco QQQ
CUSIP: 46090E103","Sell","1","$487.16","$487.16"
"9/26/2024","9/26/2024","9/27/2024","AMZN","Amazon
CUSIP: 023135106","Sell","10","$190.50","$1,904.94"
"9/26/2024","9/26/2024","9/27/2024","SHOP","Shopify
CUSIP: 82509L107","Sell","50","$80.15","$4,007.49"
"9/26/2024","9/26/2024","9/27/2024","BA","Boeing
CUSIP: 097023105","Sell","500","$155.28","$77,637.76"
"9/26/2024","9/26/2024","9/27/2024","BA","BA 10/4/2024 Call $162.50","BTC","5","$1.37","($685.15)"
"9/26/2024","9/26/2024","9/27/2024","SPY","SPDR S&P 500 ETF
CUSIP: 78462F103","Buy","1","$571.08","($571.08)"
"9/26/2024","9/26/2024","9/27/2024","BA","BA 10/4/2024 Put $149.00","BTC","2","$1.26","($252.06)"
"9/26/2024","9/26/2024","9/27/2024","BA","BA 10/4/2024 Put $149.00","BTC","2","$1.26","($252.06)"
"9/26/2024","9/26/2024","9/27/2024","BA","BA 10/4/2024 Call $162.50","STO","1","$1.46","$145.95"
"9/26/2024","9/26/2024","9/27/2024","BA","BA 10/4/2024 Call $162.50","STO","4","$1.46","$583.85"
"9/26/2024","9/26/2024","9/27/2024","BA","Boeing
CUSIP: 097023105","Buy","200","$156.01","($31,202.00)"
"9/26/2024","9/26/2024","9/27/2024","SPY","SPDR S&P 500 ETF
CUSIP: 78462F103","Sell","1","$571.14","$571.12"
"9/26/2024","9/26/2024","9/27/2024","HOOD","Robinhood Markets
CUSIP: 770700102","Sell","30","$22.57","$677.08"
"9/26/2024","9/26/2024","9/27/2024","ASTH","Astrana Health Inc.
CUSIP: 03763A207","Sell","9","$56.42","$507.76"
"9/26/2024","9/26/2024","9/27/2024","GOOG","Alphabet Class C
CUSIP: 02079K107","Sell","3","$164.10","$492.32"
"9/26/2024","9/26/2024","9/27/2024","BAC","Bank of America
CUSIP: 060505104","Sell","16","$39.46","$631.42"
"9/26/2024","9/26/2024","9/27/2024","BABA","Alibaba
CUSIP: 01609W102","Sell","100","$104.31","$10,431.06"
"9/26/2024","9/26/2024","9/27/2024","BABA","BABA 9/27/2024 Call $103.00","BTC","1","$2.42","($242.03)"
"9/26/2024","9/26/2024","9/27/2024","DNLI","Denali Therapeutics
CUSIP: 24823R105","Sell","205","$29.24","$5,995.03"
"9/26/2024","9/26/2024","9/27/2024","SOFI","SoFi Technologies
CUSIP: 83406F102","Sell","2000","$7.73","$15,465.24"
"9/26/2024","9/26/2024","9/27/2024","SPY","SPY 9/26/2024 Call $571.00","STC","139","$0.86","$11,949.10"
"9/26/2024","9/26/2024","9/27/2024","SPY","SPY 9/26/2024 Call $571.00","STC","1","$0.86","$85.95"
"9/26/2024","9/26/2024","9/27/2024","SPY","SPY 9/26/2024 Call $571.00","STC","50","$0.83","$4,148.24"
"9/26/2024","9/26/2024","9/27/2024","SPY","SPY 9/26/2024 Call $571.00","STC","10","$0.90","$899.64"
"9/26/2024","9/26/2024","9/27/2024","SPY","SPY 9/26/2024 Call $571.00","BTO","100","$0.95","($9,503.00)"
"9/26/2024","9/26/2024","9/27/2024","SPY","SPY 9/26/2024 Call $571.00","BTO","5","$1.14","($570.15)"
"9/26/2024","9/26/2024","9/27/2024","SPY","SPY 9/26/2024 Call $571.00","BTO","14","$1.14","($1,596.42)"
"9/26/2024","9/26/2024","9/27/2024","SPY","SPY 9/26/2024 Call $571.00","BTO","1","$1.14","($114.03)"
"9/26/2024","9/26/2024","9/27/2024","SPY","SPY 9/26/2024 Call $571.00","BTO","1","$1.14","($114.03)"
"9/26/2024","9/26/2024","9/27/2024","SPY","SPY 9/26/2024 Call $571.00","BTO","79","$1.14","($9,008.37)"
"9/26/2024","9/26/2024","9/27/2024","SPY","SPY 9/26/2024 Call $571.00","STC","25","$0.92","$2,299.11"
"9/26/2024","9/26/2024","9/27/2024","SPY","SPY 9/26/2024 Call $571.00","STC","13","$0.98","$1,273.53"
"9/26/2024","9/26/2024","9/27/2024","SPY","SPY 9/26/2024 Call $571.00","STC","12","$0.98","$1,175.57"
"9/26/2024","9/26/2024","9/27/2024","SPY","SPY 9/26/2024 Call $571.00","BTO","1","$1.17","($117.03)"
"9/26/2024","9/26/2024","9/27/2024","SPY","SPY 9/26/2024 Call $571.00","BTO","1","$1.17","($117.03)"
"9/26/2024","9/26/2024","9/27/2024","SPY","SPY 9/26/2024 Call $571.00","BTO","18","$1.17","($2,106.54)"
"9/26/2024","9/26/2024","9/27/2024","SPY","SPY 9/26/2024 Call $571.00","BTO","13","$1.17","($1,521.39)"
"9/26/2024","9/26/2024","9/27/2024","SPY","SPY 9/26/2024 Call $571.00","BTO","4","$1.17","($468.12)"
"9/26/2024","9/26/2024","9/27/2024","SPY","SPY 9/26/2024 Call $571.00","BTO","13","$1.17","($1,521.39)"
"9/26/2024","9/26/2024","9/27/2024","SPY","SPY 9/27/2024 Call $572.00","STC","2","$1.49","$297.92"
"9/26/2024","9/26/2024","9/27/2024","SPY","SPY 9/27/2024 Call $572.00","STC","1","$1.49","$148.95"
"9/26/2024","9/26/2024","9/27/2024","OSCR","Oscar Health
CUSIP: 687793109","Buy","10","$21.20","($211.95)"
"9/26/2024","9/26/2024","9/27/2024","BA","BA 9/27/2024 Put $149.00","BTC","1","$0.13","($13.03)"
"9/26/2024","9/26/2024","9/27/2024","BA","BA 9/27/2024 Call $157.50","BTC","3","$0.56","($168.09)"
"9/26/2024","9/26/2024","9/27/2024","SPY","SPY 9/27/2024 Call $572.00","BTO","3","$1.49","($447.09)"
"9/26/2024","9/26/2024","9/27/2024","TSLA","TSLA 9/27/2024 Put $235.00","BTC","1","$0.19","($19.03)"
"9/26/2024","9/26/2024","9/27/2024","TSLA","TSLA 9/27/2024 Put $255.00","STC","3","$2.67","$800.87"
"9/26/2024","9/26/2024","9/27/2024","TSLA","TSLA 9/27/2024 Put $255.00","STC","1","$2.67","$266.95"
"9/26/2024","9/26/2024","9/27/2024","TSLA","TSLA 9/27/2024 Put $255.00","STC","3","$2.67","$800.87"
"9/26/2024","9/26/2024","9/27/2024","TSLA","TSLA 9/27/2024 Put $255.00","STC","3","$2.70","$809.87"
"9/26/2024","9/26/2024","9/27/2024","TSLA","TSLA 9/27/2024 Put $255.00","BTO","10","$2.49","($2,490.30)"
"9/26/2024","9/26/2024","9/27/2024","SOFI","SoFi Technologies
CUSIP: 83406F102","Buy","2000","$7.79","($15,579.80)"
"9/26/2024","9/26/2024","9/27/2024","BABA","BABA 9/27/2024 Call $103.00","STO","1","$1.37","$136.95"
"9/26/2024","9/26/2024","9/27/2024","BA","BA 10/4/2024 Put $149.00","STO","4","$1.75","$699.85"
"9/26/2024","9/26/2024","9/27/2024","BA","BA 9/27/2024 Call $157.50","STO","3","$0.36","$107.89"
"9/26/2024","9/26/2024","9/27/2024","TSLA","Tesla
CUSIP: 88160R101","Sell","30","$261.00","$7,829.78"
"9/26/2024","9/26/2024","9/27/2024","BABA","Alibaba
CUSIP: 01609W102","Buy","100","$103.10","($10,310.00)"
"9/26/2024","9/26/2024","9/27/2024","BA","Boeing
CUSIP: 097023105","Buy","100","$153.62","($15,362.00)"
"9/26/2024","9/26/2024","9/27/2024","BA","Boeing
CUSIP: 097023105","Buy","55","$153.49","($8,441.95)"
"9/26/2024","9/26/2024","9/27/2024","BA","Boeing
CUSIP: 097023105","Buy","5","$153.24","($766.20)"
"9/26/2024","9/26/2024","9/27/2024","BA","Boeing
CUSIP: 097023105","Buy","100","$153.25","($15,325.00)"
"9/26/2024","9/26/2024","9/27/2024","BA","Boeing
CUSIP: 097023105","Buy","10","$153.10","($1,531.00)"
"9/25/2024","9/25/2024","9/26/2024","DNLI","Denali Therapeutics
CUSIP: 24823R105","Buy","5","$30.45","($152.25)"
"9/25/2024","9/25/2024","9/26/2024","DNLI","Denali Therapeutics
CUSIP: 24823R105","Buy","50","$30.45","($1,522.50)"
"9/25/2024","9/25/2024","9/26/2024","DNLI","Denali Therapeutics
CUSIP: 24823R105","Buy","20","$30.45","($609.00)"
"9/25/2024","9/25/2024","9/26/2024","BA","Boeing
CUSIP: 097023105","Buy","5","$152.66","($763.30)"
"9/25/2024","9/25/2024","9/26/2024","DNLI","Denali Therapeutics
CUSIP: 24823R105","Buy","30","$29.20","($875.96)"
"9/25/2024","9/25/2024","9/26/2024","TSLA","TSLA 9/27/2024 Put $235.00","STO","1","$0.20","$19.95"
"9/25/2024","9/25/2024","9/26/2024","IWM","IWM 9/27/2024 Call $218.00","STC","1","$1.45","$144.95"
"9/25/2024","9/25/2024","9/26/2024","BA","BA 9/27/2024 Put $149.00","STO","1","$0.53","$52.95"
"9/25/2024","9/25/2024","9/26/2024","DNLI","Denali Therapeutics
CUSIP: 24823R105","Buy","30","$29.41","($882.29)"
"9/25/2024","9/25/2024","9/26/2024","MU","Micron Technology
CUSIP: 595112103","Sell","50","$95.06","$4,752.86"
"9/25/2024","9/25/2024","9/26/2024","SPY","SPY 9/26/2024 Put $568.00","STC","2","$0.71","$141.92"
"9/25/2024","9/25/2024","9/26/2024","SPY","SPY 9/26/2024 Put $568.00","BTO","1","$0.70","($70.03)"
"9/25/2024","9/25/2024","9/26/2024","SPY","SPY 9/26/2024 Put $568.00","BTO","1","$0.70","($70.03)"
"9/25/2024","9/25/2024","9/26/2024","SHOP","SHOP 10/18/2024 Call $80.00","STC","1","$2.46","$245.95"
"9/25/2024","9/25/2024","9/26/2024","SHOP","SHOP 10/18/2024 Call $80.00","STC","1","$2.46","$245.95"
"9/25/2024","9/25/2024","9/26/2024","SPY","SPY 9/25/2024 Call $571.00","STC","5","$0.25","$124.83"
